EmployeeID,Name,Age,Department,JoinDate,Salary,City,Email,Phone
E1020,Sandra Friedman,28,Engineering,2022-09-13,147101,West Elizabeth,ywatkins@robinson-stuart.net,974-811-7078x735
E1021,Lisa King,60,Marketing,2024-07-16,128316,North Dianaburgh,lisa65@gmail.com,001-241-180-5834
E1022,Cody Guzman,55,Finance,2022-11-22,56100,Valenciaborough,tuckerelizabeth@garcia-henderson.com,+1-304-054-4560
E1023,Zachary Johnson,27,Sales,2024-10-11,106446,South Mary,mcgeebryan@harris.info,8493855693
E1024,Sharon Rodriguez,52,Engineering,2021-03-19,118912,New Joseph,thomasbrian@yahoo.com,001-690-422-9150x700
E1025,Shirley Edwards,33,Sales,2017-02-25,134990,New Elizabethbury,vwest@yahoo.com,659.062.7141x27355
E1026,Victoria White,48,Engineering,2023-11-18,56416,Gomezstad,pwade@hotmail.com,001-523-212-9534x95300
E1027,Richard Rodriguez,52,Finance,2022-12-04,96384,Port Hunter,rcobb@bennett.com,173.529.7383
E1028,Chris Moyer,35,Finance,2025-02-14,134816,Jessicabury,kyle04@hickman.com,258.692.6662x6276
E1029,Gabriel Underwood,43,IT,2019-04-01,134873,Michaelport,lisarogers@yahoo.com,221.212.1069x61066
E1030,Angela Kirk,56,IT,2015-09-20,30517,Jacobside,michellewatson@yahoo.com,6183385164
E1031,Jamie Watts,24,Engineering,2024-02-25,124415,Nicoleport,josephnichols@carr.com,066.835.0030x39065
E1032,Robert Young,22,HR,2022-02-14,142499,Brianland,garciajacob@flores.com,+1-616-199-0679x34574
E1033,Tanner Lewis,45,HR,2021-05-03,100283,Brittanyshire,john59@ortiz-jones.com,420-845-3549x8720
E1034,Sherry Kim MD,38,IT,2021-06-11,130618,Jennifershire,usmith@hill.com,001-100-758-0304x1400
E1035,Steven Brooks,42,Sales,2019-08-09,126257,Sandershaven,richardsullivan@camacho.com,878-709-0548
E1036,Elizabeth Flores,37,Finance,2020-02-11,72629,Port Denise,grayjoshua@hotmail.com,(404)194-7919
E1037,Marie Dunn,39,Sales,2021-03-21,84744,New Jenniferfurt,christopher59@hotmail.com,+1-760-373-5601x7721
E1038,Todd Hoffman,52,Finance,2023-05-15,118454,Port Isaac,perrywilliam@faulkner.com,001-498-728-9587x41353
E1039,Joanna Elliott,58,IT,2022-11-16,103408,New Veronica,vthompson@gmail.com,+1-341-087-8125x8841
E1040,John Hill,43,IT,2018-05-07,104812,Wrightberg,millerandrea@gmail.com,(388)483-0891
E1041,Abigail Bowman,58,Engineering,2019-04-12,61614,South Danafurt,krogers@hotmail.com,566.251.9268x556
E1042,Melissa Evans,43,Sales,2023-09-10,109174,Victoriachester,conradbilly@yahoo.com,971.614.1255x007
E1043,Stephanie Jarvis,42,Marketing,2015-10-06,66665,Allisontown,jennifer74@gmail.com,6430033061
E1044,Darren Cochran,54,Finance,2023-12-31,93777,Crystalmouth,thomasleonard@velasquez.org,+1-209-391-9497x162
E1045,Jessica Solis,31,Sales,2023-01-01,58711,Port Andrew,matthewhuffman@hall-horton.info,(950)416-9846x993
E1046,Jeff Hahn,50,Sales,2017-10-17,48000,New Keith,nbates@wheeler.biz,(983)615-8456
E1047,Michelle Jones,48,IT,2022-09-24,69393,Port Travisport,clarkgabrielle@gmail.com,165.543.2892x92205
E1048,Theresa Burke,37,Engineering,2018-08-24,143863,Port Stephanie,courtneyrobinson@owens.com,757-891-5696x470
E1049,Dr. William Williamson DVM,32,Sales,2023-12-20,130767,Levineburgh,martinkimberly@osborn.com,499.511.5534
E1050,Jenna Jarvis,49,Engineering,2021-07-02,48803,Danieltown,billmiller@smith.org,719.980.4880
E1051,Ana Watson,27,Finance,2018-03-06,126498,East Carlamouth,qtaylor@yahoo.com,782.063.8418x505
E1052,Marvin Higgins,51,IT,2020-07-17,130044,Webbside,chloe98@robinson.info,(279)114-7741
E1053,John Farrell,39,Finance,2015-10-15,95105,Terryburgh,cmayer@yahoo.com,753-696-6027x04795
E1054,Michael Gilbert,45,Finance,2017-03-16,57544,Reeseland,allensarah@james.net,+1-870-674-6472x12965
E1055,David Blevins,35,Finance,2023-01-14,69996,Port Samuelmouth,guzmanjennifer@gonzalez.com,2687505513
E1056,Tina White,53,IT,2018-08-16,70930,Hernandezhaven,christinamcdowell@myers-gates.com,854.394.3974
E1057,Ryan Gomez,30,Sales,2024-11-24,70277,Lake Mark,benjaminrobles@mckinney-todd.com,946.955.1058x812
E1058,Tiffany Smith,29,HR,2023-02-13,50956,West Lauren,andrewbennett@mclaughlin.com,0649566681
E1059,Alex Castillo,45,IT,2021-09-27,145166,West Karenport,andersonangela@yahoo.com,001-857-838-5722x0407
E1060,Sydney Contreras,48,Finance,2022-04-25,88009,Whiteport,laura31@gmail.com,472.964.5394x50135
E1061,Deborah Carey,51,Sales,2022-03-08,115185,Lake Jameshaven,alexander99@hotmail.com,+1-398-877-8878x40185
E1062,Jennifer White,47,IT,2018-12-16,122526,Stevensburgh,kimberlyponce@gmail.com,001-667-648-6068x1110
E1063,Christopher Mitchell,45,Finance,2018-02-28,50782,Masonfurt,hberry@dillon.com,6515743600
E1064,Alexandra Smith,46,IT,2019-03-08,42111,Jonesmouth,eroth@hotmail.com,291-142-0582x52512
E1065,Joshua Allison,49,HR,2017-04-28,121817,Travismouth,danielle02@gmail.com,001-009-990-8950x315
E1066,Riley White,24,Engineering,2022-01-16,142733,Howardborough,caroline19@hernandez.net,353-298-9343
E1067,Stefanie Larsen,32,Engineering,2017-04-08,85470,Harveybury,kim94@reed.info,362-212-3985x04731
E1068,Alicia Massey,29,HR,2017-06-19,57967,Shieldsberg,paige04@gmail.com,483.802.5963
E1069,Angel Brown,34,Engineering,2023-01-13,50660,Lake Jennifer,matthew99@hotmail.com,+1-137-314-8891x611
E1070,Jennifer Cantrell,59,HR,2022-02-12,123519,Davidborough,russellmeza@jenkins.com,+1-741-154-8627x656
E1071,Erik Decker,36,Engineering,2020-06-08,31263,Thomasview,ynoble@mills-salazar.com,155.320.7814
E1072,Patricia Griffin,40,Sales,2020-11-03,98634,New Darrenview,nashdonald@clark.biz,+1-146-699-0838x22897
E1073,Todd Thompson,58,Engineering,2017-07-26,146799,South Sueton,wjohnson@brown.com,(790)140-0272
E1074,Jade Scott,50,Sales,2023-09-30,114025,Coxfurt,anthonywhite@yahoo.com,509-162-9943x3095
E1075,Lynn Smith,58,Engineering,2025-06-04,59366,West Tiffany,vbeltran@hotmail.com,8364463651
E1076,Jessica Williams,35,Sales,2022-04-22,43097,South Randallchester,patrick22@medina.info,(924)845-8673x1449
E1077,Victor Martinez,26,Marketing,2023-11-03,34170,Alyssamouth,kramirez@reynolds.com,285.481.0364
E1078,Joe Burns,44,Sales,2023-06-26,136381,Leefurt,kimberly95@hotmail.com,001-960-498-7006x6615
E1079,Sherry Russell,37,HR,2024-11-08,111973,North Valerie,novakjeremy@gmail.com,(196)190-7241x5820
E1080,Mark Brown,60,Finance,2020-10-14,117219,East Martin,etownsend@valentine.net,889.811.3078x8544
E1081,Benjamin Higgins,26,Finance,2018-10-22,35761,Harrisport,jennifer94@brown.com,068.379.8968x8123
E1082,Emily Roman,52,IT,2016-07-17,62791,Port Courtney,annajacobs@wells.com,+1-881-153-0972x491
E1083,Regina Gates,55,Marketing,2022-01-11,67877,Smithland,nicholas43@yahoo.com,(261)171-0647
E1084,Kevin Porter,50,Marketing,2025-01-02,43171,Davidbury,john88@mahoney.com,964-304-6235
E1085,Lori Navarro,58,HR,2022-12-08,121565,New Jason,brendawarren@hotmail.com,(702)617-6619
E1086,Alexis Adams,48,Engineering,2015-08-22,82625,Kyleton,chelseafuller@simmons.com,866.782.4917
E1087,Jason Smith,53,HR,2022-07-21,133957,Lake Beverlytown,garciameredith@hotmail.com,001-751-206-4567
E1088,Jacqueline Weaver,46,Finance,2017-12-18,34776,Barbaraberg,millssandra@sandoval.com,116-182-3823
E1089,Amy Ford,29,Finance,2022-07-24,75169,Edwardsville,ysnyder@garcia-dickson.biz,2889671183
E1090,Sonya Gallagher,28,HR,2017-04-26,136250,Newtonmouth,charlottelopez@gmail.com,660.961.6529x2692
E1091,Kathleen Hubbard,49,HR,2022-04-11,111710,Waltersmouth,leslie22@morris.org,+1-195-373-8072
E1092,Joshua Davidson,45,Engineering,2017-08-27,128038,New Shanetown,lharper@yahoo.com,840-649-2956
E1093,Kristin Peters,52,HR,2016-08-29,115594,West Timothy,krodriguez@le.biz,350.663.2088
E1094,Johnathan Smith,45,Marketing,2015-12-06,32211,Carsonport,davidbarnes@melendez.com,+1-280-996-9666x60073
E1095,Jerry Patel,40,Finance,2019-08-08,128865,New Damon,petersonrobert@brown-johnson.com,+1-827-880-8675
E1096,John Lee,53,Sales,2019-06-20,133733,Lake John,costamichael@hotmail.com,7377176846
E1097,Matthew Norris,58,HR,2018-05-22,115567,Lake Curtis,kbaldwin@martin.org,299-600-2926
E1098,Carlos West,27,Finance,2020-12-06,88940,Priceside,michael43@johnson.net,7073916590
E1099,Lisa Hernandez,48,Sales,2021-10-12,85136,West Tonya,glewis@yahoo.com,(656)100-3057x5263
